ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
SDN,54010,59007.5,58607.5,60607.5,64607.5,60607.5,58607.5,67466.5,70402.5,73698,73358,73008,35608,36208,35508,37508,37502
SEN,436109,431357,398149,469382,434577,399902,368433,412405,428352,446271,409794.6,427468.7,462298.3,472178.8,459792,426649.5,476240.8
SGP,10483,7785,7796,7109,7579,7837,11676,8025,5141,5688,5230.87,5953.794,6201.33,7211.111,6695.323,8161.294,7346.361
SLB,19579.33,24553.36,26258.54,37099.22,36756.87,32779.94,40879.26,33016.78,28617.9,32682.4,44649.66,45938.76,45884.47,48522.88,85898.71,85297.99,77027.36
SLE,74760,75240,83020,95956,132470,143023,144176,139585,197632,199075,200075,202075,203575,205075,206552,202175,202175
SLV,9851,20004,36724,36615,44634,43317,46296,58398,57104,52779.71,44082.93,59164.7,54736,55002,64874,57183.71,62039.68
SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOM,24150,31900,29000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
SRB,,,,,,,7645.05,9143.8,10686.72,11286.44,13002.33,13012.95,12459.19,10975.54,10761.37,10537,8944.66
SSD,,,,,,,,,,,,,37020,37020,37020,37020,35020
STP,3700,3692,3820,4005,4141,4197,4323,4449,4575,4701,4827,6100,7400,8700,10000,11448,11750
SUR,24583,28979,31127,35854,33160,29862,32101,31019.3,24206.4,26184.16,35156.1,35586,39338.2,39447.7,38510.82,44827.17,47115.1
SVK,2255,2530,2575,2527,2783,2648,2981,3193,2726,2595.9,2310.4,2769.5,3255.56,3092.2,3174.66,3279.63,4034.65
SVN,3037,3089,2975,2635,2594,2573,2502.169,2464.454,2196.714,2341.859,1719.4,2287.209,1639.488,1625.916,1806.8,1950.592,2154.219
SWE,343368,318590,300582,293209,275919,262239,276800,243618,238931,211955,222679,194762,165366,200670,195558,225486,224530
SWZ,119,122,60,60,60,60,60,60,60,133,269,160,160,160,165,165,165
SXM,,,,,,,,,,,,253,253,253,253,253,253
SYC,33203,53873,63617,87104,101846,109452,93443,65882,69488,81114,87110,75482,68702,74126,75139.1,104986.1,127128
SYR,13369,14171,15166,16128,17220,16980,17166,17882,15590,15304,15247,13400,11500,8800,7400,6600,7000
TCA,5807,6518,5873,5192,5751,5565,6092,4900,6133,6803.2,5470,3801,3835,3871,2419,2817,2780
TCD,83200,75000,70000,71000,74000,77000,79000,82000,85030,88030,91030,95030,100030,120060,120080,100154,110094
TGO,22297,23183,20976,27515,28048,27756,24880,19955,22872,27132,27635,24142,19340,20038,19874,21555,31989
THA,3735279,3648095,3797036,3914076,4099653,4118527,4053100,3675407,3204293,3287370,3096742,3036581,2991728,2822344,2567898,2429956,2493154
TJK,253,236,324,325,210,193,241,251,406,790.1,1207.2,1380,988.8,1582.9,1617.6,1626,1550
TKM,12296,12792,12850,14567,15008,15026,15026,15026,15026,15026,15026,15026,15026,15030,15030,15030,15030
TLS,3621,3561,3720,3850,4015,3672,3323,3313,4295,4752,4752,4756,4756,4756,4756,4756,4760
TON,4308,5017,5327,4826,3385,2647,2887,2732.5,2595.61,2255.2,2376.3,2380.3,2587,1845.04,1924.31,1831.405,1700
TTO,14259,16605,18775,14599,14738.5,17021.5,13148.5,13482.3,13845.69,13890.36,13943.5,13120.75,12069.55,13145.55,13206.45,13289.8,13038.1
TUN,96223.83,99394.1,98707.57,92348.12,112679.7,111756.3,114249.5,107402.2,99750.75,99443.81,98602.8,108784,116151,120893.7,122604.8,133442,131229
TUR,582383,594980,627847,587715,644932,546063,662381,773193,647014,623556,653646,703653,645249,607991.6,536516,670873,585657
TUV,500,500,600,1505,2451,2561,3161,3771,4380,5230.5,11468.5,11853.5,17621.5,12925.5,7381.5,6150.5,7686.5
TZA,328474,343287.7,331687,356691.7,367257.7,378854,339636,430711,331503,340676,358717.5,356156.7,389343.4,390426.1,352329.2,386192.4,383513.6
UGA,220176,223086,226813,247310,377328,427575,399491,482610,455750,488654.1,508805,523127.7,503544,517312,572219,513795,507295.2
UKR,422836,342015,296615.8,283243.1,248622.2,296861,238409,243365,258416,244800.5,232812.9,203537.2,178107.9,226797.6,167517,142643.3,97167.6
URY,113411,104999,108119,117293,123011,125867.1,134024,108753.2,108833,80926.41,74237.97,89346.82,76253.23,59413.86,65297,59743.83,51569.65
USA,5216830,5462163,5483648,5534652,5602988,5475187,5378772,5296214,4861785,4715028,4893331,5520449,5521244,5582390,5405670,5471445,5375386
UZB,8958,7388,6424,5218,4993,6700,7200,7100,7900,9262,10732,17235.3,25884.9,37505.2,46391.8,59852.4,65321.7
VCT,22799,31944,46076,37767,78315,44104,51584,63309,55898,59587,66368,76574,10240,39496,81413,26206,23077
VEN,373144,484750,527759,519545,597599,422358,339752.5,367909.3,314328.6,331327,237078.3,226228.2,239409.2,240795,240433.7,259551.4,310173
VGB,43,837,1062,2771,1262,1295,1308,1251,1202,1201,1201,1200,1196,1203,1205,1200,1200
VIR,1673,1738,1796,1867,1970,1634,2223,1468,1324,1403,1050,1013,621,547,491.64,386,559
VNM,2143129,2327856,2520639,2808507,3153651,3440200,3699327,4174900,4532150,4749480,4951028,5221685,5590574,5803722,6048983,6207514,6420471
VUT,70589,36176,44968,113867,212787.6,229554,222675,213728.2,172635,150581.1,101349,59371.5,63483.88,61938.18,69936.9,82201.54,44017.8
WSM,8595,8613,10881,9703,9934,9836,12435,14094,13902,13284,12845,11457,11905.6,11204.73,7506.562,8714.34,8811
YEM,114750,142198,179584,228116,256300,238780,229960,180216,132212,179753,164011,157411,230616,235342,219762,180813,154450
ZAF,667086,785547,797769,847226,917685,831004,635071,696526,661336,528334,645803.6,550267.3,725162.5,437660,616473,579742.4,630064
ZMB,70911,67520,67630,70833,72850,70873,65447,79418,85044,93221,86686,79894,93626,95458,100107,106473,114203
ZWE,15265,14585,13763,13250,13505,12922,13000,13050,13152,13202,13982,19582,20740,23490,24750,25500,25796
