Country Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
PER,152658.7886,132479.0092,115384.9886,100932.9191,89056.9085,79308.75245,71450.89556,65090.74606,60551.35161,57918.22624,55614.31792,52187.52054
PHL,17060.0176,14592.99408,12630.72404,10978.8316,9575.487264,8364.790797,7366.949962,6558.869434,5887.03336,5357.613306,4927.342832,4554.404265
PLW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNG,342256.6463,308454.1863,274490.1029,242533.5399,212552.0335,186601.2824,165625.3567,147063.3325,131341.1671,117647.007,104966.5424,94927.28049
POL,1768.480789,1675.672625,1621.507972,1545.15618,1479.41729,1422.956779,1397.155282,1386.816857,1402.026933,1406.065388,1408.185615,1411.461372
PRE,19188.07717,17027.46688,14982.41978,13008.75617,11307.36575,9933.515945,8602.953328,7418.744771,6466.156109,5604.12202,4602.795345,3990.783233
PRI,2897.578359,2683.626176,2520.182759,2298.709161,2166.316344,2062.84411,1980.376975,1888.584174,1856.839748,1876.819821,1953.507619,2135.15469
PRK,5643.66125,5067.042646,4405.64409,3988.910115,3720.451287,3447.922375,3200.014214,2999.740813,2870.675675,2769.930789,2701.543404,2634.702508
PRT,4225.045961,4281.921726,4403.02511,4018.750644,3833.825459,3788.622388,3818.138449,3759.035163,3646.962162,3604.299512,3613.938543,3689.212936
PRY,58305.40571,51073.92755,45049.3984,39854.07278,34730.84928,30063.78919,26321.59728,23408.91411,21149.83519,19505.10384,18220.01367,17037.86396
PSE,NA,NA,NA,NA,NA,NA,375.3019864,300.0164787,264.0330132,232.3654112,204.020203,NA
PSS,NA,NA,103262.8582,91243.87597,80347.0607,72725.08085,67702.19168,61774.15369,57627.6912,53786.64437,49831.32172,46275.99168
